epoch,train_loss,val_loss,lr
1,0.013344294671451798,0.05275691432026468,0.001
2,0.013323048211711368,0.05397189648590924,0.001
3,0.013562525709405773,0.05279542311896072,0.001
4,0.013382433489003639,0.05328778220095145,0.001
5,0.013374210231565905,0.05325852057629431,0.001
6,0.013509337399444432,0.0532895267450128,0.001
7,0.013372887702842142,0.053441219656302254,0.001
8,0.013323364166513935,0.05331964876733778,0.001
9,0.013344636558521288,0.05319079578052773,0.001
10,0.013311795740740595,0.05304174174107033,0.001
11,0.013336141564801259,0.05288804401174303,0.001
12,0.013291600411227022,0.05278248764762236,0.0001
